"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"250","2021-W06",983,0,65,0,0,"AT",8901064,"AT","Age80+","MOD",474047
"251","2021-W06",2932,0,23301,0,66690,"AT",8901064,"AT","Age80+","COM",474047
"252","2021-W06",4,0,0,0,43200,"AT",8901064,"AT","Age80+","AZ",474047
"253","2021-W07",22191,0,19869,0,80730,"AT",8901064,"AT","1_Age60+","COM",2259262
"254","2021-W07",2349,0,2,0,76800,"AT",8901064,"AT","1_Age60+","AZ",2259262
"255","2021-W07",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"256","2021-W07",2382,0,21,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"257","2021-W07",1534,0,180,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"258","2021-W07",30289,0,1,0,76800,"AT",8901064,"AT","1_Age<60","AZ",5099181
"259","2021-W07",4294,0,19023,0,80730,"AT",8901064,"AT","1_Age<60","COM",5099181
"260","2021-W07",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"261","2021-W07",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"262","2021-W07",26485,0,38892,0,80730,"AT",8901064,"AT","ALL","COM",7358443
"263","2021-W07",32638,0,3,0,76800,"AT",8901064,"AT","ALL","AZ",7358443
"264","2021-W07",3916,0,201,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"265","2021-W07",67,0,22,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"266","2021-W07",276,0,1638,0,80730,"AT",8901064,"AT","Age18_24","COM",696064
"267","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"268","2021-W07",3636,0,0,0,76800,"AT",8901064,"AT","Age18_24","AZ",696064
"269","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"270","2021-W07",812,0,108,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"271","2021-W07",2358,0,10625,0,80730,"AT",8901064,"AT","Age25_49","COM",3006228
"272","2021-W07",17210,0,1,0,76800,"AT",8901064,"AT","Age25_49","AZ",3006228
"273","2021-W07",9380,0,0,0,76800,"AT",8901064,"AT","Age50_59","AZ",1396889
"274","2021-W07",1620,0,6729,0,80730,"AT",8901064,"AT","Age50_59","COM",1396889
"275","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"276","2021-W07",651,0,50,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
"277","2021-W07",1498,0,2749,0,80730,"AT",8901064,"AT","Age60_69","COM",1016016
"278","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"279","2021-W07",513,0,7,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"280","2021-W07",2267,0,1,0,76800,"AT",8901064,"AT","Age60_69","AZ",1016016
"281","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"282","2021-W07",69,0,1,0,76800,"AT",8901064,"AT","Age70_79","AZ",769199
"283","2021-W07",2707,0,3110,0,80730,"AT",8901064,"AT","Age70_79","COM",769199
"284","2021-W07",594,0,7,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"285","2021-W07",13,0,0,0,76800,"AT",8901064,"AT","Age80+","AZ",474047
"286","2021-W07",1275,0,7,0,0,"AT",8901064,"AT","Age80+","MOD",474047
"287","2021-W07",17986,0,14010,0,80730,"AT",8901064,"AT","Age80+","COM",474047
"288","2021-W07",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"289","2021-W08",2691,0,1089,0,37200,"AT",8901064,"AT","1_Age60+","MOD",2259262
"290","2021-W08",39407,0,5537,0,84240,"AT",8901064,"AT","1_Age60+","COM",2259262
"291","2021-W08",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"292","2021-W08",4693,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"293","2021-W08",1787,0,2667,0,37200,"AT",8901064,"AT","1_Age<60","MOD",5099181
"294","2021-W08",4423,0,11449,0,84240,"AT",8901064,"AT","1_Age<60","COM",5099181
"295","2021-W08",52884,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"296","2021-W08",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"297","2021-W08",4478,0,3756,0,37200,"AT",8901064,"AT","ALL","MOD",7358443
"298","2021-W08",57577,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
